stage,skenario,n_neighbors,min_dist,min_cluster_size,min_samples,n_topics,n_outliers,pct_clustered,waktu_detik
Stage1,S01_BASE,15,0.0,20,5,161,4387,70.01,22.7
Stage1,S02_N10,10,0.0,20,5,162,4140,71.7,20.2
Stage1,S03_N30,30,0.0,20,5,123,4137,71.72,28.8
Stage1,S04_N50,50,0.0,20,5,130,5326,63.59,35.3
Stage1,S05_D01,15,0.1,20,5,151,5269,63.98,20.9
Stage1,S06_D03,15,0.3,20,5,106,5774,60.53,21.5
Stage1,S07_C10,15,0.0,10,5,272,4294,70.65,21.7
Stage1,S08_C30,15,0.0,30,5,121,4349,70.27,21.8
Stage1,S09_MS10,15,0.0,20,10,152,4747,67.55,21.0
Stage2,FT01_N20,20,0.0,20,5,146,4512,69.16,23.7
Stage2,FT02_N25,25,0.0,20,5,148,4741,67.59,24.7
Stage2,FT03_N35,35,0.0,20,5,141,5557,62.01,28.8
Stage2,FT04_N40,40,0.0,20,5,127,4570,68.76,31.6
Stage2,FT05_D005,30,0.05,20,5,127,5023,65.66,31.4
Stage2,FT06_D015,30,0.15,20,5,116,5789,60.43,27.6
Stage2,FT07_C15,30,0.0,15,5,166,4811,67.11,27.8
Stage2,FT08_C25,30,0.0,25,5,106,4133,71.75,29.6
Stage2,FT09_MS3,30,0.0,20,3,144,4793,67.24,28.1
