tahun,topic_id,n_docs,n_total,proporsi,label_topik
2013,0,145,719,0.20166898470097358,Topik_0
2014,0,129,723,0.17842323651452283,Topik_0
2015,0,114,602,0.1893687707641196,Topik_0
2016,0,144,881,0.16345062429057888,Topik_0
2017,0,118,1320,0.0893939393939394,Topik_0
2018,0,76,1120,0.06785714285714285,Topik_0
2019,0,108,971,0.11122554067971163,Topik_0
2020,0,76,870,0.08735632183908046,Topik_0
2021,0,86,762,0.11286089238845144,Topik_0
2022,0,76,487,0.15605749486652978,Topik_0
2023,0,102,691,0.1476121562952243,Topik_0
2024,0,85,850,0.1,Topik_0
2025,0,47,500,0.094,Topik_0
