topic_id,n_docs,pct_docs,top5_keywords,top10_keywords,label_topik,kategori,catatan
0,1306,12.44,"guru(0.231), siswa(0.223), sekolah(0.216), materi(0.205), elearning(0.203)","guru, siswa, sekolah, materi, elearning, akademik, didik, smk, ajar ajar, beasiswa",,,
1,555,5.29,"game(0.329), main(0.311), musuh(0.298), npc(0.285), finite state(0.259)","game, main, musuh, npc, finite state, fsm, finite, player, state machine, main main",,,
2,468,4.46,"tanam(0.359), tani(0.352), hama(0.294), sakit tanam(0.283), tanah(0.279)","tanam, tani, hama, sakit tanam, tanah, hama sakit, jeruk, padi, panen, buah",,,
3,381,3.63,"wisata(0.420), wisatawan(0.377), pariwisata(0.350), objek wisata(0.328), kunjung(0.274)","wisata, wisatawan, pariwisata, objek wisata, kunjung, daki, destinasi, tourism, lokasi wisata, information wisata",,,
4,357,3.4,"usability(0.262), antarmuka(0.241), tingkat usability(0.240), progressive web(0.231), progressive(0.230)","usability, antarmuka, tingkat usability, progressive web, progressive, desain, user experience, design, puas user, user interface",,,
5,220,2.1,"twitter(0.460), tweet(0.424), media sosial(0.406), sentimen(0.368), opini(0.363)","twitter, tweet, media sosial, sentimen, opini, sosial, analisis sentimen, komentar, negatif, netral",,,
6,217,2.07,"bahan baku(0.432), baku(0.419), produksi(0.357), bahan(0.336), supplier(0.304)","bahan baku, baku, produksi, bahan, supplier, gudang, sedia bahan, supply chain, supply, chain",,,
7,186,1.77,"surat(0.414), desa(0.391), arsip(0.290), surat terang(0.286), perintah(0.280)","surat, desa, arsip, surat terang, perintah, surat surat, perintah desa, information desa, duduk, warga",,,
8,184,1.75,"karyawan(0.392), pegawai(0.371), rekrutmen(0.316), nilai kerja(0.313), lamar(0.297)","karyawan, pegawai, rekrutmen, nilai kerja, lamar, kerja karyawan, gaji, jabat, kerja pegawai, daya manusia",,,
9,176,1.68,"smartphone(0.343), android(0.284), telepon genggam(0.275), telepon(0.263), genggam(0.261)","smartphone, android, telepon genggam, telepon, genggam, smartphone android, application android, guna smartphone, tablet, handphone",,,
10,166,1.58,"olahraga(0.489), futsal(0.437), atlet(0.395), bola(0.393), tanding(0.372)","olahraga, futsal, atlet, bola, tanding, lapang, sepak bola, sepak, lapang futsal, klub",,,
11,164,1.56,"rumah sakit(0.463), pasien(0.416), rekam medis(0.368), medis(0.344), puskesmas(0.333)","rumah sakit, pasien, rekam medis, medis, puskesmas, layan sehat, sehat, rawat inap, rawat, rekam",,,
12,151,1.44,"kendara(0.419), lintas(0.417), celaka(0.410), rambu(0.373), macet(0.358)","kendara, lintas, celaka, rambu, macet, kemudi, celaka lintas, kendara motor, plat, jalan raya",,,
13,141,1.34,"perangkat lunak(0.368), lunak(0.367), kakas bantu(0.363), kakas(0.360), kode(0.346)","perangkat lunak, lunak, kakas bantu, kakas, kode, kembang perangkat, chunk, kualitas perangkat, kode sumber, graf",,,
14,138,1.31,"demam(0.467), gejala(0.389), sakit(0.366), diagnosis(0.350), tular(0.347)","demam, gejala, sakit, diagnosis, tular, infeksi, kulit, seksual, diagnosis sakit, certainty factor",,,
15,135,1.29,"reality(0.466), virtual reality(0.423), augmented reality(0.402), augmented(0.402), virtual(0.385)","reality, virtual reality, augmented reality, augmented, virtual, marker, maya, teknologi augmented, gamelan, animasi",,,
16,131,1.25,"wajah(0.588), kenal wajah(0.491), ciri(0.406), tanda tangan(0.392), tekstur(0.361)","wajah, kenal wajah, ciri, tanda tangan, tekstur, citra, citra wajah, ekstraksi ciri, deteksi wajah, jari",,,
