tahun,topic_id,n_docs,n_total,proporsi,label_topik
2013,0,145,719,0.20166898470097358,Topik_0
2013,1,82,719,0.11404728789986092,Topik_1
2013,2,15,719,0.02086230876216968,Topik_2
2013,3,19,719,0.02642559109874826,Topik_3
2013,4,6,719,0.008344923504867872,Topik_4
2013,5,2,719,0.0027816411682892906,Topik_5
2013,6,16,719,0.022253129346314324,Topik_6
2013,7,12,719,0.016689847009735744,Topik_7
2013,8,20,719,0.027816411682892908,Topik_8
2013,9,15,719,0.02086230876216968,Topik_9
2013,10,6,719,0.008344923504867872,Topik_10
2013,11,14,719,0.019471488178025034,Topik_11
2013,12,1,719,0.0013908205841446453,Topik_12
2013,13,2,719,0.0027816411682892906,Topik_13
2013,14,5,719,0.006954102920723227,Topik_14
2013,15,5,719,0.006954102920723227,Topik_15
2013,16,5,719,0.006954102920723227,Topik_16
2013,17,13,719,0.01808066759388039,Topik_17
2013,18,2,719,0.0027816411682892906,Topik_18
2013,19,5,719,0.006954102920723227,Topik_19
2013,20,15,719,0.02086230876216968,Topik_20
2013,22,98,719,0.13630041724617525,Topik_22
2013,24,3,719,0.004172461752433936,Topik_24
2013,25,5,719,0.006954102920723227,Topik_25
2013,26,3,719,0.004172461752433936,Topik_26
2013,27,1,719,0.0013908205841446453,Topik_27
2013,28,7,719,0.009735744089012517,Topik_28
2013,30,1,719,0.0013908205841446453,Topik_30
2013,31,9,719,0.012517385257301807,Topik_31
2013,32,5,719,0.006954102920723227,Topik_32
2013,33,5,719,0.006954102920723227,Topik_33
2013,34,1,719,0.0013908205841446453,Topik_34
2013,35,8,719,0.011126564673157162,Topik_35
2013,36,1,719,0.0013908205841446453,Topik_36
2013,37,2,719,0.0027816411682892906,Topik_37
2013,39,5,719,0.006954102920723227,Topik_39
2013,41,2,719,0.0027816411682892906,Topik_41
2013,42,9,719,0.012517385257301807,Topik_42
2013,43,2,719,0.0027816411682892906,Topik_43
2013,44,11,719,0.015299026425591099,Topik_44
2013,45,2,719,0.0027816411682892906,Topik_45
2013,46,4,719,0.005563282336578581,Topik_46
2013,47,2,719,0.0027816411682892906,Topik_47
2013,48,2,719,0.0027816411682892906,Topik_48
2013,50,4,719,0.005563282336578581,Topik_50
2013,51,5,719,0.006954102920723227,Topik_51
2013,52,4,719,0.005563282336578581,Topik_52
2013,53,4,719,0.005563282336578581,Topik_53
2013,54,2,719,0.0027816411682892906,Topik_54
2013,55,3,719,0.004172461752433936,Topik_55
2013,56,4,719,0.005563282336578581,Topik_56
2013,59,1,719,0.0013908205841446453,Topik_59
2013,60,6,719,0.008344923504867872,Topik_60
2013,61,2,719,0.0027816411682892906,Topik_61
2013,64,2,719,0.0027816411682892906,Topik_64
2013,65,3,719,0.004172461752433936,Topik_65
2013,66,1,719,0.0013908205841446453,Topik_66
2013,67,9,719,0.012517385257301807,Topik_67
2013,68,3,719,0.004172461752433936,Topik_68
2013,69,2,719,0.0027816411682892906,Topik_69
2013,70,3,719,0.004172461752433936,Topik_70
2013,71,2,719,0.0027816411682892906,Topik_71
2013,73,5,719,0.006954102920723227,Topik_73
2013,74,12,719,0.016689847009735744,Topik_74
2013,75,7,719,0.009735744089012517,Topik_75
2013,76,2,719,0.0027816411682892906,Topik_76
2013,78,2,719,0.0027816411682892906,Topik_78
2013,79,3,719,0.004172461752433936,Topik_79
2013,80,2,719,0.0027816411682892906,Topik_80
2013,81,3,719,0.004172461752433936,Topik_81
2013,86,4,719,0.005563282336578581,Topik_86
2013,87,1,719,0.0013908205841446453,Topik_87
2013,89,1,719,0.0013908205841446453,Topik_89
2013,90,2,719,0.0027816411682892906,Topik_90
2013,93,2,719,0.0027816411682892906,Topik_93
2013,94,3,719,0.004172461752433936,Topik_94
2013,95,1,719,0.0013908205841446453,Topik_95
2013,96,3,719,0.004172461752433936,Topik_96
2013,97,3,719,0.004172461752433936,Topik_97
2013,98,5,719,0.006954102920723227,Topik_98
2013,101,2,719,0.0027816411682892906,Topik_101
2013,102,1,719,0.0013908205841446453,Topik_102
2013,103,1,719,0.0013908205841446453,Topik_103
2013,104,1,719,0.0013908205841446453,Topik_104
2014,0,129,723,0.17842323651452283,Topik_0
2014,1,78,723,0.1078838174273859,Topik_1
2014,2,18,723,0.024896265560165973,Topik_2
2014,3,18,723,0.024896265560165973,Topik_3
2014,4,9,723,0.012448132780082987,Topik_4
2014,5,6,723,0.008298755186721992,Topik_5
2014,6,44,723,0.06085753803596127,Topik_6
2014,7,13,723,0.017980636237897647,Topik_7
2014,8,22,723,0.030428769017980636,Topik_8
2014,9,15,723,0.02074688796680498,Topik_9
2014,10,11,723,0.015214384508990318,Topik_10
2014,11,18,723,0.024896265560165973,Topik_11
2014,12,4,723,0.005532503457814661,Topik_12
2014,13,4,723,0.005532503457814661,Topik_13
2014,14,12,723,0.016597510373443983,Topik_14
2014,15,4,723,0.005532503457814661,Topik_15
2014,16,6,723,0.008298755186721992,Topik_16
2014,17,5,723,0.006915629322268326,Topik_17
2014,19,10,723,0.013831258644536652,Topik_19
2014,20,10,723,0.013831258644536652,Topik_20
2014,21,5,723,0.006915629322268326,Topik_21
